Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SSJS;MT0294;Autos do Sangue;BRASNORTE;Mato Grosso;"058°13'25,0""O";"11°32'38,0""S";299;VFR Diurna;16/34;1200;23;5700Kg / ,5 MPa;Cascalho;31/12/2024;PA2014-3177;https://pergamum.anac.gov.br/arquivos/PA2014-3177
SIYN;PE0016;Recanto dos Mouras;AFOGADOS DA INGAZEIRA;Pernambuco;"037°35'49,0""O";"07°45'53,0""S";562;VFR Diurna;8/26;750;18;5600Kg / ,5 MPa;Terra;11/06/2025;PA2015-1394;https://pergamum.anac.gov.br/arquivos/PA2015-1394
SWJY;PB0018;Professora Francisca Cardoso;SÃO MIGUEL DE TAIPU;Paraíba;"035°10'21""O";"07°14'46,0""S";117;VFR Diurna;14/32;1000;18;40/F/C/Y/U;Terra;16/10/2022;PA2012-2150;https://pergamum.anac.gov.br/arquivos/PA2012-2150
SDZI;BA0083;Fazenda Trijunção;JABORANDI;Bahia;"046°00'18""O";"14°47'43,0""S";944;VFR Noturna;7/25;1260;23;5000Kg / ,5 MPa;Saibro;14/09/2025;PA2015-2391;https://pergamum.anac.gov.br/arquivos/PA2015-2391
SSQQ;MS0323;Condomínio CLC;CAMPO GRANDE;Mato Grosso do Sul;"054°35'25,0""O";"20°20'25,0""S";702;VFR Diurna;18/36;750;18;5700Kg / ,5 MPa;Grama;19/11/2022;PA2015-3434;https://pergamum.anac.gov.br/arquivos/PA2015-3434
SNDP;MT0244;Derso Portilho Vieira;SÃO FÉLIX DO ARAGUAIA;Mato Grosso;"052°13'08,0""O";"11°25'31,0""S";348;VFR Diurna;1/19;1100;18;5700Kg / ,5 MPa;Cascalho;09/09/2023;PA2013-2312;https://pergamum.anac.gov.br/arquivos/PA2013-2312
SNUP;AL0011;Usina Porto Rico;CAMPO ALEGRE;Alagoas;"036°13'21""O";"09°48'10,0""S";123;VFR Diurna;13/31;800;30;5600Kg / ,5 MPa;Cascalho;24/10/2022;PA2012-2234;https://pergamum.anac.gov.br/arquivos/PA2012-2234
SNVK;BA0145;Fazenda Ventura II;SÃO DESIDÉRIO;Bahia;"046°14'27,0""O";"13°10'26,0""S";981;VFR Diurna;18/36;1300;25;5700Kg / ,5 MPa;Terra;16/09/2023;PA2013-2374;https://pergamum.anac.gov.br/arquivos/PA2013-2374
SDCE;TO0012;Fazenda Boa Sorte;ALIANÇA DO TOCANTINS;Tocantins;"048°40'44,0""O";"11°18'06,0""S";291;VFR Diurna;3/21;1200;20;5700Kg / ,5 MPa;Cascalho;17/04/2023;PA2013-0970;https://pergamum.anac.gov.br/arquivos/PA2013-0970
SWSA;PR0098;Fazenda Santa Maria;ARAPONGAS;Paraná;"051°19'12""O";"23°29'45,0""S";742;VFR Diurna;11/29;1140;25;4000Kg / ,5 MPa;Grama;30/01/2023;PA2014-0803;https://pergamum.anac.gov.br/arquivos/PA2014-0803
SNFQ;MT0251;Fazenda Bandeirantes;NOVA MARILÂNDIA;Mato Grosso;"056°56'54,0""O";"14°20'52,0""S";329;VFR Diurna;9/27;850;18;5700Kg / ,5 MPa;Cascalho;11/02/2024;PA2014-0321;https://pergamum.anac.gov.br/arquivos/PA2014-0321
SISR;PA0057;Fazenda Reunidas Sococo;SANTA IZABEL DO PARÁ;Pará;"048°02'29,0""O";"01°13'26,0""S";49;VFR Diurna;10/28;1255;23;4581Kg / ,5 MPa;Piçarra;19/12/2022;PA2012-2761;https://pergamum.anac.gov.br/arquivos/PA2012-2761
SNSF;SP0237;Fazenda São Francisco;FARTURA;São Paulo;"049°32'38,0""O";"23°28'30,0""S";519;VFR Diurna;5/23;750;23;3500Kg / ,5 MPa;Terra;24/07/2024;PA2014-1674;https://pergamum.anac.gov.br/arquivos/PA2014-1674
SSJJ;MS0290;Fazenda Brejon;CAMAPUÃ;Mato Grosso do Sul;"053°41'51""O";"19°23'08,0""S";610;VFR Diurna;1/19;1000;40;5600Kg / ,5 MPa;Grama;29/05/2025;PA2015-1283;https://pergamum.anac.gov.br/arquivos/PA2015-1283
SJWT;BA0126;Fazenda Tucumã;CORRENTINA;Bahia;"045°47'57,0""O";"13°37'57,0""S";851;VFR Diurna;10/28;1000;20;5000Kg / ,5 MPa;Cascalho;26/01/2025;PA2015-0159;https://pergamum.anac.gov.br/arquivos/PA2015-0159
SWZR;MS0403;Fazenda Ponto de Apoio;ÁGUA CLARA;Mato Grosso do Sul;"052°41'15""O";"20°27'59,0""S";402;VFR Diurna;3/21;900;40;5000Kg / ,5 MPa;Terra;16/10/2022;PA2013-1154;https://pergamum.anac.gov.br/arquivos/PA2013-1154
SDKC;SP0116;Fazenda São Lucas;GÁLIA;São Paulo;"049°27'44,0""O";"22°18'13,0""S";540;VFR Diurna;6/24;600;18;5700Kg / ,5 MPa;Grama;17/10/2022;PA2012-2179;https://pergamum.anac.gov.br/arquivos/PA2012-2179
SNLK;RJ0189;Skydive Litoral;SAQUAREMA;Rio de Janeiro;"042°33'21,0""O";"22°51'00,0""S";20;IFR Noturna;3/21;780;18;4500Kg / ,4 MPa;Grama;;;
SNIH;MS0209;Fazenda Rio Negro;AQUIDAUANA;Mato Grosso do Sul;"056°14'41,0""O";"19°34'18,0""S";109;VFR Diurna;1/19;720;20;6/F/B/X/U;Grama;11/08/2027;PA2017-2593;https://pergamum.anac.gov.br/arquivos/PA2017-2593
SDOQ;MT0051;Fazenda Campo Claro;RIBEIRÃO CASCALHEIRA;Mato Grosso;"051°44'22,0""O";"12°40'27,0""S";346;VFR Diurna;12/30;1100;20;5,6Kg / ,5 MPa;Terra;30/11/2021;PA2018-1451;https://pergamum.anac.gov.br/arquivos/PA2018-1451
SIDM;MT0088;Fazenda Cibrapa;BARRA DO GARÇAS;Mato Grosso;"052°05'54,0""O";"15°02'14,0""S";280;VFR Diurna;2/20;1000;25;5600Kg / ,5 MPa;Cascalho;10/10/2023;PA2013-2637;https://pergamum.anac.gov.br/arquivos/PA2013-2637
SNOW;SP0232;Fazenda Turmalina;RANCHARIA;São Paulo;"050°58'20,0""O";"21°58'56,0""S";433;VFR Diurna;13/31;1100;20;5000Kg / ,5 MPa;Terra;21/09/2022;PA2012-1872;https://pergamum.anac.gov.br/arquivos/PA2012-1872
SWIT;PR0096;Condomínio de Voo Itaipu - CVI;SANTA TEREZINHA DE ITAIPU;Paraná;"054°26'29,0""O";"25°29'04,0""S";273;VFR Noturna;1/19;800;18;5700Kg / ,5 MPa;Asfalto;13/09/2022;PA2019-3375;https://pergamum.anac.gov.br/arquivos/PA2019-3375
SWON;SC0041;Clube de Aviação Céu Azul;ARAQUARI;Santa Catarina;"048°41'46,0""O";"26°33'41,0""S";5;VFR Diurna;16/34;1199;23;13/F/D/Y/T;Asfalto;;;
SSRJ;RS0099;Fazenda Jacuí;ELDORADO DO SUL;Rio Grande do Sul;"051°18'02,0""O";"29°58'58,0""S";2;VFR Diurna;6/24;650;23;3000Kg / ,5 MPa;Grama;05/04/2027;PA2017-0970;https://pergamum.anac.gov.br/arquivos/PA2017-0970
SIXR;MS0506;Fazenda Santa Maria III;COXIM;Mato Grosso do Sul;"054°27'07,0""O";"18°24'08,0""S";361;IFR Noturna;14/32;799;23;5700Kg / ,5 MPa;Cascalho;29/07/2030;PA2020-1785;https://pergamum.anac.gov.br/arquivos/PA2020-1785
SNRJ;PA0103;Juruti;JURUTI;Pará;"056°05'25,0""O";"02°11'12,0""S";33;VFR Noturna;8/26;1050;18;5700Kg / ,5 MPa;Piçarra;20/04/2027;PA2017-1376;https://pergamum.anac.gov.br/arquivos/PA2017-1376
SSGU;PR0077;Fazenda Gurucaia;SANTA ISABEL DO IVAÍ;Paraná;"053°19'42,0""O";"23°11'36,0""S";270;VFR Diurna;6/24;820;40;5000Kg / ,5 MPa;Grama;23/05/2022;PA2012-1007;https://pergamum.anac.gov.br/arquivos/PA2012-1007
